ancestry	filter	af_limit	total_vars	filtered_vars	proportion_removed
afr	esp_global_nonsing_filter	1e-06	13821.07	959.59	0.93057049852146
amr	esp_global_nonsing_filter	1e-06	12420.21	996.79	0.919744513176508
eas	esp_global_nonsing_filter	1e-06	12642.85	1248.62	0.901239040248045
nfe	esp_global_nonsing_filter	1e-06	12136.5	888.75	0.92677048572488
sas	esp_global_nonsing_filter	1e-06	12413.7	1151.87	0.907209776295544
afr	esp_popmax_nonsing_filter	1e-06	13821.07	959.59	0.93057049852146
amr	esp_popmax_nonsing_filter	1e-06	12420.21	996.79	0.919744513176508
eas	esp_popmax_nonsing_filter	1e-06	12642.85	1248.62	0.901239040248045
nfe	esp_popmax_nonsing_filter	1e-06	12136.5	888.75	0.92677048572488
sas	esp_popmax_nonsing_filter	1e-06	12413.7	1151.87	0.907209776295544
afr	kg_global_nonsing_filter	1e-06	13821.07	524.42	0.962056483325821
amr	kg_global_nonsing_filter	1e-06	12420.21	492.3	0.960362989031586
eas	kg_global_nonsing_filter	1e-06	12642.85	517.64	0.959056700032034
nfe	kg_global_nonsing_filter	1e-06	12136.5	446.53	0.963207679314465
sas	kg_global_nonsing_filter	1e-06	12413.7	516.04	0.958429799334606
afr	kg_popmax_nonsing_filter	1e-06	13821.07	524.42	0.962056483325821
amr	kg_popmax_nonsing_filter	1e-06	12420.21	492.3	0.960362989031586
eas	kg_popmax_nonsing_filter	1e-06	12642.85	517.64	0.959056700032034
nfe	kg_popmax_nonsing_filter	1e-06	12136.5	446.53	0.963207679314465
sas	kg_popmax_nonsing_filter	1e-06	12413.7	516.04	0.958429799334606
afr	exac_global_nonsing_filter	1e-06	13821.07	66.74	0.995171140874042
amr	exac_global_nonsing_filter	1e-06	12420.21	47.89	0.996144187578149
eas	exac_global_nonsing_filter	1e-06	12642.85	69.11	0.994533669228062
nfe	exac_global_nonsing_filter	1e-06	12136.5	41.42	0.996587154451448
sas	exac_global_nonsing_filter	1e-06	12413.7	61.92	0.995011962589719
afr	exac_popmax_nonsing_filter	1e-06	13821.07	66.78	0.995168246742112
amr	exac_popmax_nonsing_filter	1e-06	12420.21	47.9	0.996143382438783
eas	exac_popmax_nonsing_filter	1e-06	12642.85	69.15	0.994530505384466
nfe	exac_popmax_nonsing_filter	1e-06	12136.5	41.51	0.996579738804433
sas	exac_popmax_nonsing_filter	1e-06	12413.7	61.94	0.995010351466525
afr	esp_global_nonsing_filter	3.16227766016838e-06	13821.07	959.59	0.93057049852146
amr	esp_global_nonsing_filter	3.16227766016838e-06	12420.21	996.79	0.919744513176508
eas	esp_global_nonsing_filter	3.16227766016838e-06	12642.85	1248.62	0.901239040248045
nfe	esp_global_nonsing_filter	3.16227766016838e-06	12136.5	888.75	0.92677048572488
sas	esp_global_nonsing_filter	3.16227766016838e-06	12413.7	1151.87	0.907209776295544
afr	esp_popmax_nonsing_filter	3.16227766016838e-06	13821.07	959.59	0.93057049852146
amr	esp_popmax_nonsing_filter	3.16227766016838e-06	12420.21	996.79	0.919744513176508
eas	esp_popmax_nonsing_filter	3.16227766016838e-06	12642.85	1248.62	0.901239040248045
nfe	esp_popmax_nonsing_filter	3.16227766016838e-06	12136.5	888.75	0.92677048572488
sas	esp_popmax_nonsing_filter	3.16227766016838e-06	12413.7	1151.87	0.907209776295544
afr	kg_global_nonsing_filter	3.16227766016838e-06	13821.07	524.42	0.962056483325821
amr	kg_global_nonsing_filter	3.16227766016838e-06	12420.21	492.3	0.960362989031586
eas	kg_global_nonsing_filter	3.16227766016838e-06	12642.85	517.64	0.959056700032034
nfe	kg_global_nonsing_filter	3.16227766016838e-06	12136.5	446.53	0.963207679314465
sas	kg_global_nonsing_filter	3.16227766016838e-06	12413.7	516.04	0.958429799334606
afr	kg_popmax_nonsing_filter	3.16227766016838e-06	13821.07	524.42	0.962056483325821
amr	kg_popmax_nonsing_filter	3.16227766016838e-06	12420.21	492.3	0.960362989031586
eas	kg_popmax_nonsing_filter	3.16227766016838e-06	12642.85	517.64	0.959056700032034
nfe	kg_popmax_nonsing_filter	3.16227766016838e-06	12136.5	446.53	0.963207679314465
sas	kg_popmax_nonsing_filter	3.16227766016838e-06	12413.7	516.04	0.958429799334606
afr	exac_global_nonsing_filter	3.16227766016838e-06	13821.07	66.74	0.995171140874042
amr	exac_global_nonsing_filter	3.16227766016838e-06	12420.21	47.89	0.996144187578149
eas	exac_global_nonsing_filter	3.16227766016838e-06	12642.85	69.11	0.994533669228062
nfe	exac_global_nonsing_filter	3.16227766016838e-06	12136.5	41.42	0.996587154451448
sas	exac_global_nonsing_filter	3.16227766016838e-06	12413.7	61.92	0.995011962589719
afr	exac_popmax_nonsing_filter	3.16227766016838e-06	13821.07	66.78	0.995168246742112
amr	exac_popmax_nonsing_filter	3.16227766016838e-06	12420.21	47.9	0.996143382438783
eas	exac_popmax_nonsing_filter	3.16227766016838e-06	12642.85	69.15	0.994530505384466
nfe	exac_popmax_nonsing_filter	3.16227766016838e-06	12136.5	41.51	0.996579738804433
sas	exac_popmax_nonsing_filter	3.16227766016838e-06	12413.7	61.94	0.995010351466525
afr	esp_global_nonsing_filter	1e-05	13821.07	959.59	0.93057049852146
amr	esp_global_nonsing_filter	1e-05	12420.21	996.79	0.919744513176508
eas	esp_global_nonsing_filter	1e-05	12642.85	1248.62	0.901239040248045
nfe	esp_global_nonsing_filter	1e-05	12136.5	888.75	0.92677048572488
sas	esp_global_nonsing_filter	1e-05	12413.7	1151.87	0.907209776295544
afr	esp_popmax_nonsing_filter	1e-05	13821.07	959.59	0.93057049852146
amr	esp_popmax_nonsing_filter	1e-05	12420.21	996.79	0.919744513176508
eas	esp_popmax_nonsing_filter	1e-05	12642.85	1248.62	0.901239040248045
nfe	esp_popmax_nonsing_filter	1e-05	12136.5	888.75	0.92677048572488
sas	esp_popmax_nonsing_filter	1e-05	12413.7	1151.87	0.907209776295544
afr	kg_global_nonsing_filter	1e-05	13821.07	524.42	0.962056483325821
amr	kg_global_nonsing_filter	1e-05	12420.21	492.3	0.960362989031586
eas	kg_global_nonsing_filter	1e-05	12642.85	517.64	0.959056700032034
nfe	kg_global_nonsing_filter	1e-05	12136.5	446.53	0.963207679314465
sas	kg_global_nonsing_filter	1e-05	12413.7	516.04	0.958429799334606
afr	kg_popmax_nonsing_filter	1e-05	13821.07	524.42	0.962056483325821
amr	kg_popmax_nonsing_filter	1e-05	12420.21	492.3	0.960362989031586
eas	kg_popmax_nonsing_filter	1e-05	12642.85	517.64	0.959056700032034
nfe	kg_popmax_nonsing_filter	1e-05	12136.5	446.53	0.963207679314465
sas	kg_popmax_nonsing_filter	1e-05	12413.7	516.04	0.958429799334606
afr	exac_global_nonsing_filter	1e-05	13821.07	66.74	0.995171140874042
amr	exac_global_nonsing_filter	1e-05	12420.21	47.89	0.996144187578149
eas	exac_global_nonsing_filter	1e-05	12642.85	69.11	0.994533669228062
nfe	exac_global_nonsing_filter	1e-05	12136.5	41.42	0.996587154451448
sas	exac_global_nonsing_filter	1e-05	12413.7	61.92	0.995011962589719
afr	exac_popmax_nonsing_filter	1e-05	13821.07	66.78	0.995168246742112
amr	exac_popmax_nonsing_filter	1e-05	12420.21	47.9	0.996143382438783
eas	exac_popmax_nonsing_filter	1e-05	12642.85	69.15	0.994530505384466
nfe	exac_popmax_nonsing_filter	1e-05	12136.5	41.51	0.996579738804433
sas	exac_popmax_nonsing_filter	1e-05	12413.7	61.94	0.995010351466525
afr	esp_global_nonsing_filter	3.16227766016838e-05	13821.07	959.59	0.93057049852146
amr	esp_global_nonsing_filter	3.16227766016838e-05	12420.21	996.79	0.919744513176508
eas	esp_global_nonsing_filter	3.16227766016838e-05	12642.85	1248.62	0.901239040248045
nfe	esp_global_nonsing_filter	3.16227766016838e-05	12136.5	888.75	0.92677048572488
sas	esp_global_nonsing_filter	3.16227766016838e-05	12413.7	1151.87	0.907209776295544
afr	esp_popmax_nonsing_filter	3.16227766016838e-05	13821.07	959.59	0.93057049852146
amr	esp_popmax_nonsing_filter	3.16227766016838e-05	12420.21	996.79	0.919744513176508
eas	esp_popmax_nonsing_filter	3.16227766016838e-05	12642.85	1248.62	0.901239040248045
nfe	esp_popmax_nonsing_filter	3.16227766016838e-05	12136.5	888.75	0.92677048572488
sas	esp_popmax_nonsing_filter	3.16227766016838e-05	12413.7	1151.87	0.907209776295544
afr	kg_global_nonsing_filter	3.16227766016838e-05	13821.07	524.42	0.962056483325821
amr	kg_global_nonsing_filter	3.16227766016838e-05	12420.21	492.3	0.960362989031586
eas	kg_global_nonsing_filter	3.16227766016838e-05	12642.85	517.64	0.959056700032034
nfe	kg_global_nonsing_filter	3.16227766016838e-05	12136.5	446.53	0.963207679314465
sas	kg_global_nonsing_filter	3.16227766016838e-05	12413.7	516.04	0.958429799334606
afr	kg_popmax_nonsing_filter	3.16227766016838e-05	13821.07	524.42	0.962056483325821
amr	kg_popmax_nonsing_filter	3.16227766016838e-05	12420.21	492.3	0.960362989031586
eas	kg_popmax_nonsing_filter	3.16227766016838e-05	12642.85	517.64	0.959056700032034
nfe	kg_popmax_nonsing_filter	3.16227766016838e-05	12136.5	446.53	0.963207679314465
sas	kg_popmax_nonsing_filter	3.16227766016838e-05	12413.7	516.04	0.958429799334606
afr	exac_global_nonsing_filter	3.16227766016838e-05	13821.07	98.06	0.992905035572499
amr	exac_global_nonsing_filter	3.16227766016838e-05	12420.21	70.53	0.994321352054434
eas	exac_global_nonsing_filter	3.16227766016838e-05	12642.85	99.13	0.99215920460972
nfe	exac_global_nonsing_filter	3.16227766016838e-05	12136.5	57.81	0.995236682733902
sas	exac_global_nonsing_filter	3.16227766016838e-05	12413.7	85.86	0.993083448125861
afr	exac_popmax_nonsing_filter	3.16227766016838e-05	13821.07	68.78	0.995023540145589
amr	exac_popmax_nonsing_filter	3.16227766016838e-05	12420.21	49.23	0.996036298903159
eas	exac_popmax_nonsing_filter	3.16227766016838e-05	12642.85	70.37	0.994434008154807
nfe	exac_popmax_nonsing_filter	3.16227766016838e-05	12136.5	47.71	0.996068883121163
sas	exac_popmax_nonsing_filter	3.16227766016838e-05	12413.7	63.11	0.994916100759645
afr	esp_global_nonsing_filter	1e-04	13821.07	959.59	0.93057049852146
amr	esp_global_nonsing_filter	1e-04	12420.21	996.79	0.919744513176508
eas	esp_global_nonsing_filter	1e-04	12642.85	1248.62	0.901239040248045
nfe	esp_global_nonsing_filter	1e-04	12136.5	888.75	0.92677048572488
sas	esp_global_nonsing_filter	1e-04	12413.7	1151.87	0.907209776295544
afr	esp_popmax_nonsing_filter	1e-04	13821.07	959.59	0.93057049852146
amr	esp_popmax_nonsing_filter	1e-04	12420.21	996.79	0.919744513176508
eas	esp_popmax_nonsing_filter	1e-04	12642.85	1248.62	0.901239040248045
nfe	esp_popmax_nonsing_filter	1e-04	12136.5	888.75	0.92677048572488
sas	esp_popmax_nonsing_filter	1e-04	12413.7	1151.87	0.907209776295544
afr	kg_global_nonsing_filter	1e-04	13821.07	524.42	0.962056483325821
amr	kg_global_nonsing_filter	1e-04	12420.21	492.3	0.960362989031586
eas	kg_global_nonsing_filter	1e-04	12642.85	517.64	0.959056700032034
nfe	kg_global_nonsing_filter	1e-04	12136.5	446.53	0.963207679314465
sas	kg_global_nonsing_filter	1e-04	12413.7	516.04	0.958429799334606
afr	kg_popmax_nonsing_filter	1e-04	13821.07	524.42	0.962056483325821
amr	kg_popmax_nonsing_filter	1e-04	12420.21	492.3	0.960362989031586
eas	kg_popmax_nonsing_filter	1e-04	12642.85	517.64	0.959056700032034
nfe	kg_popmax_nonsing_filter	1e-04	12136.5	446.53	0.963207679314465
sas	kg_popmax_nonsing_filter	1e-04	12413.7	516.04	0.958429799334606
afr	exac_global_nonsing_filter	1e-04	13821.07	163.44	0.988174576932177
amr	exac_global_nonsing_filter	1e-04	12420.21	114.15	0.990809334141693
eas	exac_global_nonsing_filter	1e-04	12642.85	165.31	0.986924625381144
nfe	exac_global_nonsing_filter	1e-04	12136.5	85.66	0.992941951963087
sas	exac_global_nonsing_filter	1e-04	12413.7	140.83	0.988655276025681
afr	exac_popmax_nonsing_filter	1e-04	13821.07	77.59	0.994386107587907
amr	exac_popmax_nonsing_filter	1e-04	12420.21	57.77	0.995348709884938
eas	exac_popmax_nonsing_filter	1e-04	12642.85	74.35	0.994119205717065
nfe	exac_popmax_nonsing_filter	1e-04	12136.5	65.91	0.994569274502534
sas	exac_popmax_nonsing_filter	1e-04	12413.7	70.26	0.994340124217598
afr	esp_global_nonsing_filter	0.000316227766016838	13821.07	1016.58	0.92644708405355
amr	esp_global_nonsing_filter	0.000316227766016838	12420.21	1048.57	0.915575501541439
eas	esp_global_nonsing_filter	0.000316227766016838	12642.85	1331.86	0.894655081726035
nfe	esp_global_nonsing_filter	0.000316227766016838	12136.5	915.65	0.924554031228114
sas	esp_global_nonsing_filter	0.000316227766016838	12413.7	1193.52	0.903854612242925
afr	esp_popmax_nonsing_filter	0.000316227766016838	13821.07	965.66	0.930131314001014
amr	esp_popmax_nonsing_filter	0.000316227766016838	12420.21	1016.46	0.918160804044376
eas	esp_popmax_nonsing_filter	0.000316227766016838	12642.85	1279.93	0.898762541673752
nfe	esp_popmax_nonsing_filter	0.000316227766016838	12136.5	902.49	0.925638363613892
sas	esp_popmax_nonsing_filter	0.000316227766016838	12413.7	1172.05	0.905584152992259
afr	kg_global_nonsing_filter	0.000316227766016838	13821.07	524.42	0.962056483325821
amr	kg_global_nonsing_filter	0.000316227766016838	12420.21	492.3	0.960362989031586
eas	kg_global_nonsing_filter	0.000316227766016838	12642.85	517.64	0.959056700032034
nfe	kg_global_nonsing_filter	0.000316227766016838	12136.5	446.53	0.963207679314465
sas	kg_global_nonsing_filter	0.000316227766016838	12413.7	516.04	0.958429799334606
afr	kg_popmax_nonsing_filter	0.000316227766016838	13821.07	524.42	0.962056483325821
amr	kg_popmax_nonsing_filter	0.000316227766016838	12420.21	492.3	0.960362989031586
eas	kg_popmax_nonsing_filter	0.000316227766016838	12642.85	517.64	0.959056700032034
nfe	kg_popmax_nonsing_filter	0.000316227766016838	12136.5	446.53	0.963207679314465
sas	kg_popmax_nonsing_filter	0.000316227766016838	12413.7	516.04	0.958429799334606
